&0
Сайт в сети Интернет&float64
Возраст компании, лет&float64
Статус&float64
Вид деятельности/отрасль&int64
ИДО&float64
ИФР&float64
ИПД&float64
Размер компании&int64
2018, Среднесписочная численность работников&float64
2019, Среднесписочная численность работников&float64
2020, Среднесписочная численность работников&float64
Налоговый режим&object
2018, Налоги, млн RUB&float64
2019, Налоги, млн RUB&float64
2020, Налоги, млн RUB&float64
2018, Основные средства , млн RUB&float64
2019, Основные средства , млн RUB&float64
2020, Основные средства , млн RUB&float64
2018, Чистые активы, млн RUB&float64
2019, Чистые активы, млн RUB&float64
2020, Чистые активы, млн RUB&float64
2018, Активы  всего, млн RUB&float64
2019, Активы  всего, млн RUB&float64
2020, Активы  всего, млн RUB&float64
2018, Совокупный долг, млн RUB&float64
2019, Совокупный долг, млн RUB&float64
2020, Совокупный долг, млн RUB&float64
2018, Выручка, млн RUB&float64
2019, Выручка, млн RUB&float64
2020, Выручка, млн RUB&float64
2018, Прибыль (убыток) от продажи, млн RUB&float64
2019, Прибыль (убыток) от продажи, млн RUB&float64
2020, Прибыль (убыток) от продажи, млн RUB&float64
2018, Чистая прибыль (убыток), млн RUB&float64
2019, Чистая прибыль (убыток), млн RUB&float64
2020, Чистая прибыль (убыток), млн RUB&float64
